file,flag,reasons,freq,pol,n_pulses,n_range,eigen_contrast_max_db,eigen_contrast_mean_db,f_factor_max,pulse_energy_mad,zero_frac
synthetic_l0_0225.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.75,0.387,3.68,0.0
synthetic_l0_0226.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.81,0.538,4.04,0.0
synthetic_l0_0227.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.63,1.258,4.46,0.0
synthetic_l0_0228.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.71,1.36,4.48,0.0
synthetic_l0_0229.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.71,0.886,3.3,0.0
synthetic_l0_0230.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.24,3.85,0.375,3.87,0.0
synthetic_l0_0231.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.69,0.157,3.92,0.0
synthetic_l0_0232.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.72,0.57,4.04,0.0
synthetic_l0_0233.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.69,0.383,4.22,0.0
synthetic_l0_0234.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.74,0.42,4.77,0.0
synthetic_l0_0235.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.77,0.749,5.23,0.0
synthetic_l0_0236.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.69,0.697,3.99,0.0
synthetic_l0_0237.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.73,0.24,4.18,0.0
synthetic_l0_0238.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.69,0.935,3.32,0.0
synthetic_l0_0239.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.71,0.477,5.22,0.0
synthetic_l0_0240.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.65,1.551,5.87,0.0
synthetic_l0_0241.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.71,0.659,4.22,0.0
synthetic_l0_0242.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.33,3.74,0.672,3.9,0.0
synthetic_l0_0243.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.73,0.36,4.17,0.0
synthetic_l0_0244.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.76,0.831,3.38,0.0
synthetic_l0_0245.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.73,0.557,3.17,0.0
synthetic_l0_0246.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.68,0.811,3.59,0.0
synthetic_l0_0247.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.76,0.653,3.45,0.0
synthetic_l0_0248.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.69,0.502,5.22,0.0
synthetic_l0_0249.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.78,0.342,3.23,0.0
synthetic_l0_0250.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.71,0.477,3.53,0.0
synthetic_l0_0251.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.66,1.414,4.25,0.0
synthetic_l0_0252.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.71,0.639,4.05,0.0
synthetic_l0_0253.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.67,0.515,4.87,0.0
synthetic_l0_0254.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.62,0.327,3.87,0.0
synthetic_l0_0255.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.4,3.75,1.129,3.95,0.0
synthetic_l0_0256.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.76,1.037,4.31,0.0
synthetic_l0_0257.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.25,3.78,0.468,2.8,0.0
synthetic_l0_0258.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.73,0.457,5.06,0.0
synthetic_l0_0259.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.71,0.839,3.58,0.0
synthetic_l0_0260.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.74,0.474,3.45,0.0
synthetic_l0_0261.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.67,0.426,3.93,0.0
synthetic_l0_0262.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.76,0.442,3.92,0.0
synthetic_l0_0263.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.622,3.47,0.0
synthetic_l0_0264.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.21,3.79,0.562,3.9,0.0
synthetic_l0_0265.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.69,0.323,3.82,0.0
synthetic_l0_0266.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.72,0.266,5.63,0.0
synthetic_l0_0267.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.74,0.623,5.85,0.0
synthetic_l0_0268.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.73,0.399,3.82,0.0
synthetic_l0_0269.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.75,1.172,3.34,0.0
synthetic_l0_0270.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.67,0.806,3.97,0.0
synthetic_l0_0271.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.33,3.84,0.645,3.94,0.0
synthetic_l0_0272.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.25,3.71,0.424,4.28,0.0
synthetic_l0_0273.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.67,0.532,2.78,0.0
synthetic_l0_0274.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.69,0.962,3.92,0.0
synthetic_l0_0275.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.79,0.514,3.4,0.0
synthetic_l0_0276.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.74,0.67,4.15,0.0
synthetic_l0_0277.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.78,1.074,4.84,0.0
synthetic_l0_0278.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.72,0.516,3.31,0.0
synthetic_l0_0279.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.65,0.703,4.06,0.0
synthetic_l0_0280.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.72,0.586,3.4,0.0
synthetic_l0_0281.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.65,0.544,3.67,0.0
synthetic_l0_0282.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.21,3.75,1.385,3.39,0.0
synthetic_l0_0283.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.77,0.749,3.78,0.0
synthetic_l0_0284.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.69,1.095,3.32,0.0
synthetic_l0_0285.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.78,1.279,4.71,0.0
synthetic_l0_0286.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.71,0.347,3.92,0.0
synthetic_l0_0287.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.71,0.36,4.31,0.0
synthetic_l0_0288.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.75,0.383,3.71,0.0
synthetic_l0_0289.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.73,0.343,4.12,0.0
synthetic_l0_0290.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.68,1.013,5.15,0.0
synthetic_l0_0291.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.78,0.356,3.1,0.0
synthetic_l0_0292.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.72,0.304,4.45,0.0
synthetic_l0_0293.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.74,0.338,3.97,0.0
synthetic_l0_0294.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.69,0.145,3.17,0.0
synthetic_l0_0295.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.66,0.264,4.17,0.0
synthetic_l0_0296.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.67,1.112,3.69,0.0
synthetic_l0_0297.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.72,0.351,3.31,0.0
synthetic_l0_0298.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.7,0.225,3.9,0.0
synthetic_l0_0299.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.78,0.434,3.84,0.0
synthetic_l0_0300.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.68,2.0,4.58,0.0
synthetic_l0_0301.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.87,3.71,0.324,3.64,0.0
synthetic_l0_0302.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.84,0.736,2.91,0.0
synthetic_l0_0303.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.64,0.386,3.92,0.0
synthetic_l0_0304.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.68,0.805,4.05,0.0
synthetic_l0_0305.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.73,0.195,3.0,0.0
synthetic_l0_0306.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.7,0.291,3.6,0.0
synthetic_l0_0307.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.83,0.321,4.0,0.0
synthetic_l0_0308.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.71,0.489,4.35,0.0
synthetic_l0_0309.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.68,0.564,3.54,0.0
synthetic_l0_0310.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.79,0.383,3.78,0.0
synthetic_l0_0311.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.74,0.508,4.43,0.0
synthetic_l0_0312.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.69,0.598,3.92,0.0
synthetic_l0_0313.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.23,3.71,0.943,4.2,0.0
synthetic_l0_0314.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.71,0.543,4.46,0.0
synthetic_l0_0315.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.73,0.518,4.85,0.0
synthetic_l0_0316.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.81,0.589,3.63,0.0
synthetic_l0_0317.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.78,0.402,3.16,0.0
synthetic_l0_0318.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.79,0.257,4.18,0.0
synthetic_l0_0319.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.85,3.68,0.281,5.53,0.0
synthetic_l0_0320.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.69,0.742,4.88,0.0
synthetic_l0_0321.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.71,0.446,4.22,0.0
synthetic_l0_0322.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.72,1.795,4.91,0.0
synthetic_l0_0323.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.75,0.466,3.38,0.0
synthetic_l0_0324.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.79,0.144,2.92,0.0
synthetic_l0_0325.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.7,1.075,4.13,0.0
synthetic_l0_0326.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.72,0.459,4.89,0.0
synthetic_l0_0327.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.83,0.701,5.77,0.0
synthetic_l0_0328.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.69,0.783,2.84,0.0
synthetic_l0_0329.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.83,3.65,0.72,3.65,0.0
synthetic_l0_0330.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.74,0.724,4.44,0.0
synthetic_l0_0331.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.75,0.584,4.17,0.0
synthetic_l0_0332.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.76,0.295,4.41,0.0
synthetic_l0_0333.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.18,3.79,0.888,4.75,0.0
synthetic_l0_0334.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.76,0.419,4.97,0.0
synthetic_l0_0335.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.82,0.398,4.03,0.0
synthetic_l0_0336.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.71,0.671,5.2,0.0
synthetic_l0_0337.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.74,0.682,3.8,0.0
synthetic_l0_0338.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.72,0.575,4.31,0.0
synthetic_l0_0339.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.67,0.725,3.69,0.0
synthetic_l0_0340.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.75,1.008,3.29,0.0
synthetic_l0_0341.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.7,0.292,3.5,0.0
synthetic_l0_0342.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.76,1.953,4.16,0.0
synthetic_l0_0343.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.72,0.338,3.95,0.0
synthetic_l0_0344.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.73,0.291,4.08,0.0
synthetic_l0_0345.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.72,0.789,3.48,0.0
synthetic_l0_0346.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.67,0.721,5.02,0.0
synthetic_l0_0347.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.68,0.626,3.09,0.0
synthetic_l0_0348.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.74,0.835,3.47,0.0
synthetic_l0_0349.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.69,0.582,4.06,0.0
synthetic_l0_0350.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.73,0.436,3.36,0.0
synthetic_l0_0351.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.66,0.618,4.45,0.0
synthetic_l0_0352.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.62,0.46,3.11,0.0
synthetic_l0_0353.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.77,0.987,3.87,0.0
synthetic_l0_0354.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.68,0.238,3.88,0.0
synthetic_l0_0355.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.39,3.8,0.923,2.67,0.0
synthetic_l0_0356.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.61,0.397,4.28,0.0
synthetic_l0_0357.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.31,3.77,0.603,3.57,0.0
synthetic_l0_0358.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.7,0.787,2.96,0.0
synthetic_l0_0359.h5,REVIEW,pulse energy MAD 6.5 (>= 6.0),frequencyA,HH,3200,256,3.93,3.7,0.449,6.51,0.0
synthetic_l0_0360.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.68,0.276,3.65,0.0
synthetic_l0_0361.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.73,1.091,3.59,0.0
synthetic_l0_0362.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.75,0.374,4.29,0.0
synthetic_l0_0363.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.72,1.017,4.24,0.0
synthetic_l0_0364.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.73,0.489,3.52,0.0
synthetic_l0_0365.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.77,0.538,4.92,0.0
synthetic_l0_0366.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.73,0.844,4.81,0.0
synthetic_l0_0367.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.75,0.591,4.04,0.0
synthetic_l0_0368.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.72,0.448,4.96,0.0
synthetic_l0_0369.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.73,0.727,3.8,0.0
synthetic_l0_0370.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.68,0.657,5.25,0.0
synthetic_l0_0371.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.72,0.572,4.35,0.0
synthetic_l0_0372.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.67,0.311,3.94,0.0
synthetic_l0_0373.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.744,5.45,0.0
synthetic_l0_0374.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.69,1.983,5.35,0.0
synthetic_l0_0375.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.67,0.54,3.68,0.0
synthetic_l0_0376.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.68,0.221,3.41,0.0
synthetic_l0_0377.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.76,0.739,3.48,0.0
synthetic_l0_0378.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.7,0.249,3.65,0.0
synthetic_l0_0379.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.7,0.124,3.77,0.0
synthetic_l0_0380.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.76,0.591,4.59,0.0
synthetic_l0_0381.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.74,0.415,3.33,0.0
synthetic_l0_0382.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.72,0.974,4.26,0.0
synthetic_l0_0383.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.69,0.516,3.69,0.0
synthetic_l0_0384.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.68,0.705,4.54,0.0
synthetic_l0_0385.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.74,0.298,4.32,0.0
synthetic_l0_0386.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.68,0.422,2.68,0.0
synthetic_l0_0387.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.74,0.295,3.79,0.0
synthetic_l0_0388.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.74,1.119,3.79,0.0
synthetic_l0_0389.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.67,0.698,4.51,0.0
synthetic_l0_0390.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.74,0.878,4.48,0.0
synthetic_l0_0391.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.69,0.594,3.71,0.0
synthetic_l0_0392.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.88,3.63,0.412,3.7,0.0
synthetic_l0_0393.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.79,3.051,3.42,0.0
synthetic_l0_0394.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.23,3.7,0.718,3.8,0.0
synthetic_l0_0395.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.39,3.78,0.645,3.36,0.0
synthetic_l0_0396.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.71,0.61,3.48,0.0
synthetic_l0_0397.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.87,3.63,1.167,3.72,0.0
synthetic_l0_0398.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.74,0.848,4.27,0.0
synthetic_l0_0399.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.26,3.73,0.742,3.13,0.0
synthetic_l0_0400.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.34,3.76,0.212,4.43,0.0
synthetic_l0_0401.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.66,0.708,4.34,0.0
synthetic_l0_0402.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.76,0.296,3.22,0.0
synthetic_l0_0403.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.71,0.685,4.24,0.0
synthetic_l0_0404.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.72,0.263,3.63,0.0
synthetic_l0_0405.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.78,0.528,3.32,0.0
synthetic_l0_0406.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.74,0.753,3.9,0.0
synthetic_l0_0407.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.38,3.79,1.056,4.14,0.0
synthetic_l0_0408.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.74,0.493,3.21,0.0
synthetic_l0_0409.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.7,0.915,3.22,0.0
synthetic_l0_0410.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.7,0.163,4.02,0.0
synthetic_l0_0411.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.75,0.447,3.2,0.0
synthetic_l0_0412.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.74,0.603,4.55,0.0
synthetic_l0_0413.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.74,0.484,3.01,0.0
synthetic_l0_0414.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.74,0.646,4.23,0.0
synthetic_l0_0415.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.62,0.672,3.21,0.0
synthetic_l0_0416.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.67,0.442,3.86,0.0
synthetic_l0_0417.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.77,0.585,4.25,0.0
synthetic_l0_0418.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.71,0.405,3.84,0.0
synthetic_l0_0419.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.75,0.739,3.91,0.0
synthetic_l0_0420.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.79,0.656,3.8,0.0
synthetic_l0_0421.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.72,0.366,3.66,0.0
synthetic_l0_0422.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.61,0.41,4.56,0.0
synthetic_l0_0423.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.73,0.396,4.27,0.0
synthetic_l0_0424.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.34,3.79,0.572,3.75,0.0
synthetic_l0_0425.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.72,0.455,3.29,0.0
synthetic_l0_0426.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.7,0.32,4.37,0.0
synthetic_l0_0427.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.73,0.835,5.86,0.0
synthetic_l0_0428.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.77,0.36,5.3,0.0
synthetic_l0_0429.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.73,0.45,4.17,0.0
synthetic_l0_0430.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.73,0.519,5.51,0.0
synthetic_l0_0431.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.77,1.309,3.64,0.0
synthetic_l0_0432.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.73,0.537,3.38,0.0
synthetic_l0_0433.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.74,0.689,4.12,0.0
synthetic_l0_0434.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.71,0.34,4.68,0.0
synthetic_l0_0435.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.71,0.343,5.34,0.0
synthetic_l0_0436.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.66,0.536,3.28,0.0
synthetic_l0_0437.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.27,3.77,0.521,3.99,0.0
synthetic_l0_0438.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.68,0.202,3.57,0.0
synthetic_l0_0439.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.28,3.8,0.728,3.68,0.0
synthetic_l0_0440.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.68,0.602,3.91,0.0
synthetic_l0_0441.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.7,0.387,4.27,0.0
synthetic_l0_0442.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.69,0.814,3.26,0.0
synthetic_l0_0443.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.21,3.73,1.144,4.85,0.0
synthetic_l0_0444.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.75,0.643,3.9,0.0
synthetic_l0_0445.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.414,4.04,0.0
synthetic_l0_0446.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.77,0.808,3.72,0.0
synthetic_l0_0447.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.78,0.496,4.0,0.0
synthetic_l0_0448.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.75,0.222,3.56,0.0
synthetic_l0_0449.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.74,0.909,4.81,0.0
synthetic_l0_0450.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.72,0.605,3.37,0.0
synthetic_l0_0451.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.8,0.325,5.53,0.0
synthetic_l0_0452.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.88,3.64,0.23,4.45,0.0
